,spike_x,minsize,eps,label_reference,method,epsilon_scaled,mean_CSI,mean_precision,std_precision,std_CSI
157,0,3,30.0,tcrvalid,tcrdist,0.5,20.51792828685259,73.39667458432304,,
158,0,3,34.0,gliph,tcrdist,0.6,8.736971183323115,32.608695652173914,,
159,0,3,34.0,tcrvalid,tcrdist,0.6,21.41434262948207,64.95468277945619,,
160,0,3,38.0,gliph,tcrdist,0.7,7.878602084610669,20.031176929072487,,
161,0,3,38.0,tcrvalid,tcrdist,0.7,22.078353253652057,50.87987758224943,,
162,0,3,42.0,gliph,tcrdist,0.8,6.591048436541999,14.868603042876902,,
163,0,3,42.0,tcrvalid,tcrdist,0.8,21.64674634794157,44.84181568088033,,
164,0,3,46.0,gliph,tcrdist,0.9,3.1575720416922133,6.030444964871195,,
165,0,3,46.0,tcrvalid,tcrdist,0.9,1.792828685258964,3.286670724284845,,
166,0,3,50.0,gliph,tcrdist,1.0,1.1342734518700184,1.695692025664528,,
167,0,3,50.0,tcrvalid,tcrdist,1.0,1.361221779548473,2.0644511581067477,,
168,1,2,0.6,gliph,tcrvalid,0.0,2.180977557600744,87.28167184605313,1.8579594873744725,0.0076993218104975765
169,1,2,0.6,tcrvalid,tcrvalid,0.0,3.494987397728792,92.56457013047131,2.2667890794111516,0.03442132415068748
170,1,2,0.88,gliph,tcrvalid,0.05185185185185185,3.1588150215061233,82.81856141736925,1.1415526577184683,0.008959790335459307
171,1,2,0.88,tcrvalid,tcrvalid,0.05185185185185185,5.302244847508333,93.47648850964977,1.7184778836532009,0.03266199174124355
172,1,2,1.17,gliph,tcrvalid,0.10555555555555554,4.250072315281146,76.4637750590138,1.841639041633621,0.04548759547306622
173,1,2,1.17,tcrvalid,tcrvalid,0.10555555555555554,6.625018548207622,90.80765678744262,1.5313055066161954,0.02015096831133187
174,1,2,1.45,gliph,tcrvalid,0.15740740740740738,5.368911117996965,74.17015022079832,2.135170168070622,0.07366447926677185
175,1,2,1.45,tcrvalid,tcrvalid,0.15740740740740738,7.413901790660847,86.32506074965319,1.432399024903272,0.047052173796345284
176,1,2,1.74,gliph,tcrvalid,0.2111111111111111,6.260917543611378,68.99438124880123,1.6714841180696238,0.06361550509021692
