,n_clusters,n_epitopes_captured,percent_clustered,percent_clustered_in_largest,percent_labeled_clustered,mean_purity,c-CSI,c-precision,minsize,method,Doublecount,reference,spike_x,label_reference
0,367.0,124.0,17.800796812749002,1.1792828685258965,17.800796812749002,77.08450731695854,10.868525896414342,61.05640107430618,2,GLIPH,False,df_ref_tcrvalid_spike_1_hash.csv,1,tcrvalid
0,92.0,19.0,9.03585657370518,1.1792828685258965,9.03585657370518,83.58711071004113,6.50199203187251,71.95767195767196,3,GLIPH,False,df_ref_tcrvalid_spike_1_hash.csv,1,tcrvalid
0,977.0,383.0,27.62382075471698,0.717374213836478,18.49269588313413,78.5694765471048,9.882691456396635,53.44105326152005,2,GLIPH,True,df_ref_tcrvalid_spike_2_hash.csv,2,tcrvalid
0,277.0,67.0,13.865959119496855,0.717374213836478,8.455068614431164,79.94318945352092,5.223550243470562,61.78010471204188,3,GLIPH,True,df_ref_tcrvalid_spike_2_hash.csv,2,tcrvalid
0,510.0,276.0,15.770252324037184,0.7636122177954847,15.770252324037184,68.23240052864946,7.16024789729969,45.40350877192982,2,GLIPH,False,df_ref_tcrvalid_spike_2_hash.csv,2,tcrvalid
0,124.0,41.0,7.226648959716689,0.7636122177954847,7.226648959716689,73.77842152912278,4.349269588313413,60.18376722817764,3,GLIPH,False,df_ref_tcrvalid_spike_2_hash.csv,2,tcrvalid
0,1226.0,609.0,24.893939393939394,0.5454545454545454,17.691988376919884,73.7800583430192,7.339144873391449,41.48287189113093,2,GLIPH,True,df_ref_tcrvalid_spike_3_hash.csv,3,tcrvalid
0,303.0,96.0,10.909090909090908,0.5454545454545454,6.874221668742217,77.68366195044328,3.5284350352843505,51.328502415458935,3,GLIPH,True,df_ref_tcrvalid_spike_3_hash.csv,3,tcrvalid
0,714.0,474.0,15.255644090305445,0.5976095617529881,15.242839352428394,62.94688917101735,4.889995848899958,32.08061002178649,2,GLIPH,False,df_ref_tcrvalid_spike_3_hash.csv,3,tcrvalid
0,144.0,59.0,5.793492695883134,0.5976095617529881,5.778331257783313,68.70888102851654,2.7148194271481945,46.98275862068966,3,GLIPH,False,df_ref_tcrvalid_spike_3_hash.csv,3,tcrvalid
0,1667.0,1011.0,25.192754864765636,0.42222494186758047,18.819310711202604,71.02438040969226,7.072182747858424,37.57939308398024,2,GLIPH,True,df_ref_tcrvalid_spike_4_hash.csv,4,tcrvalid
0,365.0,159.0,9.258352710806511,0.42222494186758047,6.335082010757686,70.87671472664256,3.1808220997410186,50.20964360587002,3,GLIPH,True,df_ref_tcrvalid_spike_4_hash.csv,4,tcrvalid
