,index,n_clusters,n_epitopes_captured,percent_clustered,percent_clustered_in_largest,percent_labeled_clustered,mean_purity,c-CSI,c-precision,method,minsize,spike_x,label_reference,fold
26,,299,134,9.749449627843589,0.3354649334311773,9.749449627843589,71.80963661941924,5.063423838976832,51.935483870967744,clustcr,2,2,tcrvalid,3
27,3.0,107,31,5.723870426669462,0.3354649334311773,5.723870426669462,75.89795653463878,3.4909319635181886,60.989010989010985,clustcr,3,2,tcrvalid,3
28,,299,130,9.719018662193331,0.3355001048437828,9.709552270105902,71.41374024526198,4.959630911188005,51.07991360691145,clustcr,2,2,tcrvalid,4
29,4.0,114,36,5.839798699937094,0.3355001048437828,5.829925553108944,75.02375730994152,3.470693090070253,59.53237410071942,clustcr,3,2,tcrvalid,4
30,,281,109,9.40547341931425,0.33553528363216945,9.40547341931425,72.63419335705812,5.074971164936563,53.95763656633222,clustcr,2,2,tcrvalid,5
31,5.0,117,34,5.966236762084513,0.33553528363216945,5.966236762084513,74.8735754985755,3.6279752542728323,60.80843585237258,clustcr,3,2,tcrvalid,5
32,,300,133,9.624659257706018,0.3355001048437828,9.616191275167786,71.65082671957673,4.813338926174497,50.05452562704471,clustcr,2,2,tcrvalid,6
33,6.0,101,25,5.45187670371147,0.3355001048437828,5.44253355704698,79.6559209492378,3.3452181208053693,61.46435452793834,clustcr,3,2,tcrvalid,6
34,,294,129,9.552270105903323,0.33553528363216945,9.552270105903323,71.74674036281178,4.980601866415015,52.14050493962679,clustcr,2,2,tcrvalid,7
35,7.0,110,32,5.693614344133375,0.33553528363216945,5.693614344133375,77.21401515151516,3.554576910978295,62.430939226519335,clustcr,3,2,tcrvalid,7
36,,302,134,9.888842281879194,0.33557046979865773,9.880427942101951,71.03296147377273,4.898258863016572,49.575371549893845,clustcr,2,2,tcrvalid,8
37,8.0,119,35,6.050755033557047,0.33557046979865773,6.041535556954059,75.2265072695745,3.4927627438640654,57.8125,clustcr,3,2,tcrvalid,8
