,Unnamed: 0,index,n_clusters,n_epitopes_captured,percent_clustered,percent_clustered_in_largest,percent_labeled_clustered,mean_purity,c-CSI,c-precision,method,eps,minsize,spike_x,label_reference,fold,epsilon_scaled
6,4,,402,178,22.743295019157088,1.1647509578544062,22.743295019157088,68.25408433109094,6.482758620689655,28.504043126684635,ismart,6.5,2,1,gliph,4,0.4
7,0,4.0,142,51,14.773946360153255,1.1647509578544062,14.773946360153255,65.40945000773631,3.3256704980842917,22.510373443983404,ismart,6.5,3,1,gliph,4,0.4
8,5,,392,162,22.773946360153257,1.1954022988505748,22.773946360153257,69.00711824293757,7.111111111111111,31.22476446837147,ismart,6.5,2,1,gliph,5,0.4
9,0,5.0,138,46,14.988505747126435,1.1954022988505748,14.988505747126435,65.5854373277647,3.8620689655172415,25.76687116564417,ismart,6.5,3,1,gliph,5,0.4
10,6,,404,172,23.482526057633358,1.1802575107296138,23.470795646175077,68.42706073812555,6.684041085390158,28.478118876551274,ismart,6.5,2,1,gliph,6,0.4
11,0,6.0,137,50,15.297363580625383,1.1802575107296138,15.28437835351832,65.28855867301257,3.403342020542695,22.26680040120361,ismart,6.5,3,1,gliph,6,0.4
12,7,,394,171,22.63948497854077,2.283874923359902,22.62762532577035,69.08681894051325,7.404568450099648,32.72357723577236,ismart,6.5,2,1,gliph,7,0.4
13,0,7.0,146,57,15.036787247087675,2.283874923359902,15.023762072665953,65.89182645590563,4.2158516020236085,28.06122448979592,ismart,6.5,3,1,gliph,7,0.4
14,8,,414,185,23.513182096873084,2.7437155119558554,23.513182096873084,68.22255454723292,7.388105456774984,31.421121251629724,ismart,6.5,2,1,gliph,8,0.4
15,0,8.0,137,48,15.021459227467812,2.7437155119558554,15.021459227467812,67.11049330331699,4.199877375843041,27.959183673469383,ismart,6.5,3,1,gliph,8,0.4
16,9,,415,191,23.448275862068964,2.636015325670498,23.448275862068964,67.91013404704529,7.478927203065134,31.895424836601308,ismart,6.5,2,1,gliph,9,0.4
17,0,9.0,137,56,14.9272030651341,2.636015325670498,14.9272030651341,64.47230386513719,4.137931034482759,27.720739219712527,ismart,6.5,3,1,gliph,9,0.4
18,10,,392,164,22.939013178057003,2.620288078455409,22.939013178057003,68.98147714051707,6.9414649095924,30.260521042084168,ismart,6.5,2,1,gliph,10,0.4
19,0,10.0,135,42,15.062825620594545,2.620288078455409,15.062825620594545,67.70917806727921,3.8461538461538463,25.53407934893184,ismart,6.5,3,1,gliph,10,0.4
0,1,,300,91,13.440613026819925,0.4904214559386973,13.42734518700184,80.68416005291006,8.629675045984058,64.26940639269407,ismart,7.0,2,1,gliph,1,0.6
1,0,1.0,92,18,7.065134099616858,0.4904214559386973,7.050889025137952,88.64400017253278,5.165542611894543,73.26086956521739,ismart,7.0,3,1,gliph,1,0.6
2,2,,301,96,13.668403309837572,0.5056696291756053,13.668403309837572,79.90392774445931,8.289917254060681,60.65022421524664,ismart,7.0,2,1,gliph,2,0.6
3,0,2.0,97,25,7.416487894575544,0.5056696291756053,7.416487894575544,84.54723970187888,4.826846460312596,65.08264462809917,ismart,7.0,3,1,gliph,2,0.6
4,3,,296,87,13.62243334354888,0.4903463070793748,13.60919540229885,80.34108885671385,8.352490421455938,61.37387387387388,ismart,7.0,2,1,gliph,3,0.6
5,0,3.0,99,25,7.585044437634079,0.4903463070793748,7.57088122605364,84.1511343594677,4.919540229885057,64.97975708502024,ismart,7.0,3,1,gliph,3,0.6
6,4,,299,92,13.517241379310343,0.4904214559386973,13.517241379310343,80.63636544614806,8.613026819923371,63.718820861678005,ismart,7.0,2,1,gliph,4,0.6
7,0,4.0,93,21,7.203065134099617,0.4904214559386973,7.203065134099617,87.20723944514268,5.118773946360153,71.06382978723404,ismart,7.0,3,1,gliph,4,0.6
8,5,,296,88,13.42528735632184,0.4904214559386973,13.42528735632184,80.71029735092236,8.64367816091954,64.38356164383562,ismart,7.0,2,1,gliph,5,0.6
9,0,5.0,95,21,7.264367816091954,0.4904214559386973,7.264367816091954,85.68682121971595,5.149425287356322,70.88607594936708,ismart,7.0,3,1,gliph,5,0.6
10,6,,307,100,13.948497854077251,0.4904966278356836,13.935305840870765,79.286733669877,8.539015790280546,61.27612761276128,ismart,7.0,2,1,gliph,6,0.6
11,0,6.0,101,27,7.633353770692826,0.4904966278356836,7.634523992028208,83.07947759061622,5.089682661352138,66.66666666666667,ismart,7.0,3,1,gliph,6,0.6
12,7,,293,88,13.626609442060088,0.4904966278356836,13.61336808217078,80.41255743687483,8.523685420818643,62.612612612612615,ismart,7.0,2,1,gliph,7,0.6
13,0,7.0,106,31,7.893930104230534,0.4904966278356836,7.879809903418672,81.23471065098425,5.089682661352138,64.59143968871595,ismart,7.0,3,1,gliph,7,0.6
14,8,,296,89,13.672593500919682,0.5364806866952789,13.672593500919682,79.9242546117546,8.491722869405272,62.10762331838565,ismart,7.0,2,1,gliph,8,0.6
15,0,8.0,98,25,7.602697731453096,0.5364806866952789,7.602697731453096,83.75080984774861,5.088902513795218,66.93548387096774,ismart,7.0,3,1,gliph,8,0.6
16,9,,319,112,14.268199233716476,0.4904214559386973,14.268199233716476,78.39481639050604,8.475095785440613,59.3984962406015,ismart,7.0,2,1,gliph,9,0.6
17,0,9.0,95,24,7.402298850574713,0.4904214559386973,7.402298850574713,84.82048872180451,4.950191570881226,66.87370600414079,ismart,7.0,3,1,gliph,9,0.6
18,10,,305,97,13.85228317499234,0.4903463070793748,13.85228317499234,79.91520296643247,8.473797119215446,61.17256637168141,ismart,7.0,2,1,gliph,10,0.6
19,0,10.0,95,22,7.416487894575544,0.4903463070793748,7.416487894575544,86.04354636591478,4.9800796812749,67.14876033057851,ismart,7.0,3,1,gliph,10,0.6
0,1,,144,29,5.210727969348659,0.1226053639846743,5.1961986511342735,91.55092592592592,4.414469650521153,84.95575221238938,ismart,7.5,2,1,gliph,1,0.8
1,0,1.0,32,9,1.7777777777777777,0.1226053639846743,1.778050275904353,94.79166666666666,1.6400980993255672,92.24137931034484,ismart,7.5,3,1,gliph,1,0.8
2,2,,146,32,5.28654612319951,0.1225865767698437,5.28654612319951,90.52511415525116,4.397793441618143,83.18840579710145,ismart,7.5,2,1,gliph,2,0.8
3,0,2.0,33,10,1.823475329451425,0.1225865767698437,1.823475329451425,92.92929292929291,1.6395954642966597,89.91596638655462,ismart,7.5,3,1,gliph,2,0.8
4,3,,148,34,5.393809377873123,0.1225865767698437,5.379310344827586,89.75225225225226,4.398467432950191,81.76638176638177,ismart,7.5,2,1,gliph,3,0.8
5,0,3.0,35,12,1.9307385841250384,0.1225865767698437,1.9157088122605364,89.52380952380955,1.6398467432950192,85.6,ismart,7.5,3,1,gliph,3,0.8
6,4,,144,31,5.226053639846743,0.1226053639846743,5.226053639846743,91.14583333333331,4.398467432950191,84.1642228739003,ismart,7.5,2,1,gliph,4,0.8
7,0,4.0,32,10,1.793103448275862,0.1226053639846743,1.793103448275862,94.53125,1.6398467432950192,91.45299145299144,ismart,7.5,3,1,gliph,4,0.8
8,5,,146,33,5.287356321839081,0.1226053639846743,5.287356321839081,90.58219178082192,4.398467432950191,83.18840579710145,ismart,7.5,2,1,gliph,5,0.8
9,0,5.0,32,10,1.793103448275862,0.1226053639846743,1.793103448275862,94.53125,1.6398467432950192,91.45299145299144,ismart,7.5,3,1,gliph,5,0.8
10,6,,154,39,5.579399141630901,0.1226241569589209,5.564924114671164,88.31168831168831,4.3844856661045535,78.78787878787878,ismart,7.5,2,1,gliph,6,0.8
11,0,6.0,36,12,1.9619865113427344,0.1226241569589209,1.962287291123716,88.88888888888887,1.6403495324237314,83.59375,ismart,7.5,3,1,gliph,6,0.8
12,7,,145,30,5.242182709993869,0.1226241569589209,5.227655986509275,91.26436781609196,4.415146405028361,84.4574780058651,ismart,7.5,2,1,gliph,7,0.8
13,0,7.0,32,9,1.778050275904353,0.1226241569589209,1.7783228575808676,94.79166666666669,1.6403495324237314,92.24137931034484,ismart,7.5,3,1,gliph,7,0.8
14,8,,143,30,5.1961986511342735,0.1226241569589209,5.1961986511342735,91.37529137529138,4.399141630901288,84.66076696165192,ismart,7.5,2,1,gliph,8,0.8
15,0,8.0,33,10,1.8240343347639485,0.1226241569589209,1.8240343347639485,92.92929292929291,1.6400980993255672,89.91596638655462,ismart,7.5,3,1,gliph,8,0.8
16,9,,149,35,5.3486590038314175,0.1226053639846743,5.3486590038314175,89.93288590604027,4.398467432950191,82.23495702005731,ismart,7.5,2,1,gliph,9,0.8
