,n_clusters,n_epitopes_captured,percent_clustered,percent_clustered_in_largest,percent_labeled_clustered,mean_purity,c-CSI,c-precision,method,epsilon,chains,minsize,flu_included,feature,sources,mean_features
6,72.0,14.0,38.85931558935361,17.186311787072242,38.85931558935361,91.06932858700496,16.38783269961977,42.17221135029354,tcrdist,105.0,TR,3,False,CDR123,both,False
7,66.0,13.0,42.9277566539924,24.562737642585557,42.9277566539924,92.13929242412216,14.144486692015208,32.94951284322409,tcrdist,110.0,TR,3,False,CDR123,both,False
8,5.0,3.0,8.745247148288973,3.269961977186312,8.745247148288973,76.85054563909387,0.7984790874524715,9.130434782608695,tcrdist_original,,TR,3,False,CDR123,both,False
0,193.0,12.0,23.803856224708404,1.9757200666507972,23.803856224708404,97.93587241773773,23.042132825517733,96.8,tcrdist,30.0,TR,2,True,CDR123,both,False
1,224.0,15.0,31.77814805998572,8.759819090692693,31.77814805998572,97.26906999212729,30.51654368007617,96.02996254681648,tcrdist,50.0,TR,2,True,CDR123,both,False
2,272.0,16.0,40.08569388240895,17.186384194239466,40.08569388240895,96.7684626351554,38.395620090454656,95.78384798099762,tcrdist,70.0,TR,2,True,CDR123,both,False
3,263.0,19.0,49.98809807188765,22.06617472030469,49.98809807188765,93.08062896904984,44.44179957153059,88.9047619047619,tcrdist,90.0,TR,2,True,CDR123,both,False
4,255.0,20.0,52.34467983813378,26.303261128302783,52.34467983813378,92.7761367989943,41.0854558438467,78.49022282855843,tcrdist,95.0,TR,2,True,CDR123,both,False
5,242.0,22.0,55.55820042846941,30.802189954772672,55.55820042846941,92.71631532661232,14.258509878600334,25.664095972579265,tcrdist,100.0,TR,2,True,CDR123,both,False
6,221.0,21.0,58.9145441561533,40.91882885027375,58.9145441561533,91.76886856896458,13.11592477981433,22.262626262626263,tcrdist,105.0,TR,2,True,CDR123,both,False
7,217.0,21.0,62.10426089026422,46.39371578195668,62.10426089026422,91.98001339139536,12.568436086646036,20.237638942123414,tcrdist,110.0,TR,2,True,CDR123,both,False
8,8.0,3.0,16.37705308259938,5.21304451321114,16.37705308259938,91.91170808156824,13.782432754106166,84.15697674418605,tcrdist_original,,TR,2,True,CDR123,both,False
0,109.0,11.0,11.29277566539924,0.7984790874524715,11.29277566539924,98.31804281345566,10.950570342205324,96.96969696969695,tcrdist,30.0,TR,2,False,CDR123,both,False
1,153.0,14.0,17.566539923954373,1.4828897338403042,17.566539923954373,97.79956427015252,16.768060836501903,95.45454545454544,tcrdist,50.0,TR,2,False,CDR123,both,False
2,210.0,15.0,26.69201520912548,1.9011406844106464,26.69201520912548,97.2025234025234,24.866920152091254,93.16239316239316,tcrdist,70.0,TR,2,False,CDR123,both,False
3,219.0,18.0,38.17490494296578,4.030418250950571,38.17490494296578,93.81115646987364,30.64638783269962,80.2788844621514,tcrdist,90.0,TR,2,False,CDR123,both,False
4,213.0,19.0,40.11406844106464,4.524714828897339,40.11406844106464,93.39642513125548,23.916349809885933,59.62085308056872,tcrdist,95.0,TR,2,False,CDR123,both,False
5,203.0,21.0,43.95437262357415,6.920152091254753,43.95437262357415,92.6812817601972,24.4106463878327,55.5363321799308,tcrdist,100.0,TR,2,False,CDR123,both,False
6,190.0,20.0,47.832699619771866,17.186311787072242,47.832699619771866,91.87890346454924,23.99239543726236,50.15898251192369,tcrdist,105.0,TR,2,False,CDR123,both,False
7,182.0,20.0,51.7490494296578,24.562737642585557,51.7490494296578,91.92963351643988,21.52091254752852,41.58706833210874,tcrdist,110.0,TR,2,False,CDR123,both,False
8,5.0,5.0,8.212927756653992,3.2319391634980987,8.212927756653992,90.69117647058825,4.980988593155893,60.64814814814815,tcrdist_original,,TR,2,False,CDR123,both,False
0,15.0,7.0,73.1210662717512,71.01073676416142,73.1210662717512,53.66585563665856,0.1851166234727878,0.2531645569620253,ESM,1.32,TRA,3,True,CDR23,regnonly,True
1,7.0,4.0,80.04442798963346,79.26693817104776,80.04442798963346,60.16658882142301,0.1480932987782303,0.185013876040703,ESM,1.41,TRA,3,True,CDR23,regnonly,True
2,6.0,4.0,84.96853017400963,84.22806368011848,84.96853017400963,63.3980463980464,0.1480932987782303,0.1742919389978213,ESM,1.5,TRA,3,True,CDR23,regnonly,True
3,9.0,6.0,88.63383931877082,87.56016290262866,88.63383931877082,68.00446323702138,0.4072565716401333,0.4594820384294068,ESM,1.59,TRA,3,True,CDR23,regnonly,True
4,9.0,5.0,90.59607552758236,89.52239911144021,90.59607552758236,67.07563643047516,0.4072565716401333,0.4495300367797303,ESM,1.67,TRA,3,True,CDR23,regnonly,True
5,9.0,6.0,92.03998519067012,90.89226212513884,92.03998519067012,71.8918307309346,0.518326545723806,0.5631536604987932,ESM,1.76,TRA,3,True,CDR23,regnonly,True
6,9.0,5.0,93.22473158089596,91.92891521658645,93.22473158089596,68.18200802493996,0.4072565716401333,0.4368546465448769,ESM,1.85,TRA,3,True,CDR23,regnonly,True
7,9.0,5.0,94.29840799703814,93.03961495742318,94.29840799703814,73.93118745486433,0.518326545723806,0.5496662740478995,ESM,1.94,TRA,3,True,CDR23,regnonly,True
8,9.0,4.0,95.2980377637912,93.7060348019252,95.2980377637912,61.547223598455,0.3332099222510181,0.3496503496503496,ESM,2.03,TRA,3,True,CDR23,regnonly,True
9,38.0,7.0,9.705676243868256,2.172389628591451,9.705676243868256,95.48387096774194,8.794674141555712,90.61371841155234,ESM,0.73,TRB,3,True,CDR23,regnonly,True
10,36.0,8.0,13.17449194113525,6.902592852137351,13.17449194113525,89.2169580748261,11.63279607568325,88.29787234042553,ESM,0.82,TRB,3,True,CDR23,regnonly,True
11,52.0,11.0,18.255080588647512,8.51436580238262,18.255080588647512,79.25405869850314,14.365802382620885,78.69481765834932,ESM,0.9,TRB,3,True,CDR23,regnonly,True
12,56.0,11.0,26.24386825508059,13.73510861948143,26.24386825508059,71.02601037709458,16.327960756832514,62.21628838451269,ESM,0.98,TRB,3,True,CDR23,regnonly,True
13,55.0,10.0,38.47231955150666,24.8072880168185,38.47231955150666,62.66863051226092,1.5066573230553608,3.916211293260474,ESM,1.06,TRB,3,True,CDR23,regnonly,True
14,35.0,11.0,54.099509460406445,46.77645409950946,54.099509460406445,56.1371407262258,0.5606166783461808,1.0362694300518134,ESM,1.14,TRB,3,True,CDR23,regnonly,True
15,21.0,7.0,66.53819201121233,61.843027330063066,66.53819201121233,64.81450778855512,0.6657323055360898,1.0005265929436546,ESM,1.22,TRB,3,True,CDR23,regnonly,True
16,23.0,10.0,77.36510161177296,74.70217238962859,77.36510161177296,61.370285776436376,0.4555010511562719,0.5887681159420289,ESM,1.31,TRB,3,True,CDR23,regnonly,True
17,12.0,5.0,85.21373510861949,83.74211632796076,85.21373510861949,59.70943747094375,0.2803083391730904,0.3289473684210526,ESM,1.39,TRB,3,True,CDR23,regnonly,True
18,8.0,4.0,90.1541695865452,89.24316748423266,90.1541695865452,63.24008637612878,0.3153468815697267,0.3497862417411582,ESM,1.47,TRB,3,True,CDR23,regnonly,True
19,6.0,3.0,92.74702172389628,92.11632796075683,92.74702172389628,72.01090401927222,0.4204625087596356,0.4533434076312806,ESM,1.55,TRB,3,True,CDR23,regnonly,True
20,4.0,2.0,94.46391030133148,93.93833216538192,94.46391030133148,64.20412159641924,0.3854239663629993,0.4080118694362017,ESM,1.63,TRB,3,True,CDR23,regnonly,True
21,6.0,4.0,95.6552207428171,94.81429572529782,95.6552207428171,59.72899728997291,0.3854239663629993,0.4029304029304029,ESM,1.71,TRB,3,True,CDR23,regnonly,True
22,5.0,3.0,96.35599159074982,95.30483531885072,96.35599159074982,64.28542780748663,0.3854239663629993,0.4,ESM,1.8,TRB,3,True,CDR23,regnonly,True
23,5.0,3.0,96.8114926419061,95.62018220042046,96.8114926419061,60.67542408326578,0.1751927119831815,0.180962721679334,ESM,1.88,TRB,3,True,CDR23,regnonly,True
24,44.0,8.0,8.476434051881622,1.1691633175009135,8.476434051881622,83.19030401416765,5.626598465473146,66.37931034482759,ESM,7.03,TRA,3,True,CDR3,both,False
25,72.0,11.0,18.45085860431129,1.5345268542199488,18.45085860431129,75.66115080342723,9.828279137742053,53.26732673267327,ESM,7.81,TRA,3,True,CDR3,both,False
26,90.0,14.0,26.635001826817685,3.7267080745341614,26.635001826817685,68.62505647904473,13.116550968213373,49.24554183813443,ESM,8.59,TRA,3,True,CDR3,both,False
27,102.0,13.0,31.384727804165145,4.165144318597004,31.384727804165145,66.04285144391034,12.67811472415053,40.39580908032596,ESM,9.37,TRA,3,True,CDR3,both,False
28,117.0,16.0,39.31311655096821,5.297771282426014,39.31311655096821,57.57732965826962,12.78772378516624,32.52788104089219,ESM,10.15,TRA,3,True,CDR3,both,False
29,145.0,16.0,47.53379612714651,5.516989404457435,47.53379612714651,55.80952248013352,13.4088417975886,28.209069946195235,ESM,10.93,TRA,3,True,CDR3,both,False
