,repertoire_id
254,365586306927554070-242ac113-0001-012
255,7717850763340026346-242ac113-0001-012
256,7343106548025454100-242ac117-0001-012
257,3347242564857696746-242ac113-0001-012
258,8514330252086153706-242ac116-0001-012
259,3781383765129162260-242ac117-0001-012
260,3442547889155936746-242ac113-0001-012
261,5635011798973354476-242ac114-0001-012
262,3187727479484256746-242ac113-0001-012
263,2700892936482656746-242ac113-0001-012
264,2603354229190496746-242ac113-0001-012
265,8617753064573833706-242ac116-0001-012
266,2432201496799669780-242ac117-0001-012
267,2122121836716626412-242ac114-0001-012
268,8009260927134274026-242ac113-0001-012
269,5946279418943508971-242ac118-0001-012
270,8134392833441197590-242ac113-0001-012
271,7654496628484674026-242ac113-0001-012
272,7261022847391231510-242ac113-0001-012
273,2780157753228717590-242ac113-0001-012
274,6752143508569517590-242ac113-0001-012
275,6164806730841517590-242ac113-0001-012
276,7025475222991990294-242ac113-0001-012
277,
278,8344846230945197590-242ac113-0001-012
279,2141148537542939116-242ac114-0001-012
280,7036064287533634026-242ac113-0001-012
281,3032976303115801066-242ac113-0001-012
282,8368898047802797590-242ac113-0001-012
283,6694989107451391510-242ac113-0001-012
284,8159088895393197590-242ac113-0001-012
285,9192051970779714026-242ac113-0001-012
286,4962411127351874026-242ac113-0001-012
287,4657187310599597590-242ac113-0001-012
288,9030163039801840106-242ac113-0001-012
289,8653365558923760106-242ac113-0001-012
290,3103217297851027946-242ac113-0001-012
291,7052373336151551510-242ac113-0001-012
292,6908050821414317590-242ac113-0001-012
293,2122508379478299116-242ac114-0001-012
294,4078698165501357590-242ac113-0001-012
295,5249572640762434026-242ac113-0001-012
296,5856795117070914026-242ac113-0001-012
297,8798738374786477590-242ac113-0001-012
298,6140626060670070294-242ac113-0001-012
299,5602318304782914026-242ac113-0001-012
300,3457688844172717590-242ac113-0001-012
301,6775851728043437590-242ac113-0001-012
302,5344768625016237590-242ac113-0001-012
303,8799609195352560106-242ac113-0001-012
304,6015751856695874026-242ac113-0001-012
305,7203286873341357590-242ac113-0001-012
306,5873564998499757590-242ac113-0001-012
307,7064559429680557590-242ac113-0001-012
308,4086495497005634026-242ac113-0001-012
309,8906081221105151510-242ac113-0001-012
310,3054047817694637590-242ac113-0001-012
311,8057524532434431510-242ac113-0001-012
312,4051491513543234026-242ac113-0001-012
313,2648981556626067946-242ac113-0001-012
314,8408724008228351510-242ac113-0001-012
315,1494752045499027946-242ac113-0001-012
316,8550727385393402346-242ac113-0001-012
317,7272306997788077590-242ac113-0001-012
318,3811703489407554026-242ac113-0001-012
319,7734027595699711510-242ac113-0001-012
320,8950288261687874026-242ac113-0001-012
321,2133975942158619116-242ac114-0001-012
322,3169918139957907946-242ac113-0001-012
323,8746523399574000106-242ac113-0001-012
324,8585805723357680106-242ac113-0001-012
325,7783419719603711510-242ac113-0001-012
326,6219481664519597590-242ac113-0001-012
327,6155553042180674026-242ac113-0001-012
328,7047894956572077590-242ac113-0001-012
329,3243993888117166571-242ac117-0001-012
330,7573911214904831510-242ac113-0001-012
331,7489686906230271510-242ac113-0001-012
332,8929059509654000106-242ac113-0001-012
333,6232604755470914026-242ac113-0001-012
334,8907295639054914026-242ac113-0001-012
335,5115718019120557590-242ac113-0001-012
336,8751505348122111510-242ac113-0001-012
337,8542082742769151510-242ac113-0001-012
338,5015282174765634026-242ac113-0001-012
339,1472599009186344470-242ac113-0001-012
340,5270809288179117590-242ac113-0001-012
341,1196122969408147946-242ac113-0001-012
342,6948938905777270294-242ac113-0001-012
343,8243422544112194026-242ac113-0001-012
344,8755511499109241322-242ac113-0001-012
345,7712982255949311510-242ac113-0001-012
346,8781398534017520106-242ac113-0001-012
347,7921042298874434026-242ac113-0001-012
348,9136849813919231510-242ac113-0001-012
349,8268095165365677590-242ac113-0001-012
350,9051938523992560106-242ac113-0001-012
351,8997091791622640106-242ac113-0001-012
352,6032201581439554026-242ac113-0001-012
353,6453752621541954026-242ac113-0001-012
354,8517043296948720106-242ac113-0001-012
355,6921345711057474026-242ac113-0001-012
356,3268002755301806571-242ac117-0001-012
357,6275898025814594026-242ac113-0001-012
358,684678263800467946-242ac113-0001-012
359,8908443666633200106-242ac113-0001-012
360,9155232487461360106-242ac113-0001-012
361,6945342751135231510-242ac113-0001-012
362,5954568081702317590-242ac113-0001-012
363,6751866301557314026-242ac113-0001-012
364,5436423227112877590-242ac113-0001-012
365,7143352570587714026-242ac113-0001-012
366,3799946892608147946-242ac113-0001-012
367,8863463531937197590-242ac113-0001-012
368,338847497126547946-242ac113-0001-012
369,7525323521195437590-242ac113-0001-012
370,5894653287923117590-242ac113-0001-012
371,8606604909914362346-242ac113-0001-012
372,8088491246638591510-242ac113-0001-012
373,4828064550332994026-242ac113-0001-012
374,7845524946703871510-242ac113-0001-012
375,4035557184875074026-242ac113-0001-012
376,7575145141829037590-242ac113-0001-012
377,6885127309645311510-242ac113-0001-012
378,9094759347933680106-242ac113-0001-012
379,4763007409390227946-242ac113-0001-012
