,repertoire_id
221,7337308342175854100-242ac117-0001-012
222,4468575787657794026-242ac113-0001-012
223,2434520779139509780-242ac117-0001-012
224,5582194417139117590-242ac113-0001-012
225,5801194799562157590-242ac113-0001-012
226,5249572640762434026-242ac113-0001-012
227,5946279418943508971-242ac118-0001-012
228,6038019920386068971-242ac118-0001-012
229,2686329492655641066-242ac113-0001-012
230,5510339614277037590-242ac113-0001-012
231,6641719899389357590-242ac113-0001-012
232,7641955255232762346-242ac113-0001-012
233,3773669588139437590-242ac113-0001-012
234,2371097172574867946-242ac113-0001-012
235,1682450011717037590-242ac113-0001-012
236,5974454404405268971-242ac118-0001-012
237,7615658297021951510-242ac113-0001-012
238,6209111284361794026-242ac113-0001-012
239,6739699717002751510-242ac113-0001-012
240,4812536277695917590-242ac113-0001-012
241,7977031420262027756-242ac117-0001-012
242,1322572918304468500-242ac114-0001-012
243,2759902282436121066-242ac113-0001-012
244,6018434869516308971-242ac118-0001-012
245,7224632860802477590-242ac113-0001-012
246,6298251364728237590-242ac113-0001-012
247,6664463717083714026-242ac113-0001-012
248,7342720000968814100-242ac117-0001-012
249,2700631733751321066-242ac113-0001-012
250,6945342751135231510-242ac113-0001-012
251,9103103198079554026-242ac113-0001-012
252,3095537201773997590-242ac113-0001-012
253,5263960781204034026-242ac113-0001-012
254,7343020648679534100-242ac117-0001-012
255,5974969800480788971-242ac118-0001-012
256,72610369830317590-242ac113-0001-012
257,8988802291226111510-242ac113-0001-012
258,6275898025814594026-242ac113-0001-012
259,8168592386708991510-242ac113-0001-012
260,8105842914514431510-242ac113-0001-012
261,5050984966587027946-242ac113-0001-012
262,5989810254228034026-242ac113-0001-012
263,5959121375453516267-242ac118-0001-012
264,6888379871198637590-242ac113-0001-012
265,6326192092850754026-242ac113-0001-012
266,8831618315299394026-242ac113-0001-012
267,2131055364397339116-242ac114-0001-012
268,578592571589267946-242ac113-0001-012
269,6520668212013634026-242ac113-0001-012
270,6038062870059028971-242ac118-0001-012
271,2140847889832219116-242ac114-0001-012
272,1288531829164994070-242ac113-0001-012
273,6008985317342637590-242ac113-0001-012
274,7348499717619117590-242ac113-0001-012
275,9177824015438320106-242ac113-0001-012
276,3752624248389037590-242ac113-0001-012
277,97993626549677590-242ac113-0001-012
278,3289901246762521066-242ac113-0001-012
279,7347916911396974100-242ac117-0001-012
280,7079892462927277590-242ac113-0001-012
281,4086495497005634026-242ac113-0001-012
282,2541220827169427946-242ac113-0001-012
283,5653986761353794026-242ac113-0001-012
284,2459151897525677590-242ac113-0001-012
285,3258038435470053867-242ac117-0001-012
286,5921754531560877590-242ac113-0001-012
287,275977071295917590-242ac113-0001-012
288,9192051970779714026-242ac113-0001-012
289,4849515946114477590-242ac113-0001-012
290,5508516219038274026-242ac113-0001-012
291,7731677122046202346-242ac113-0001-012
292,786597837734547946-242ac113-0001-012
293,3325853627723616746-242ac113-0001-012
294,6044977767405588971-242ac118-0001-012
295,8951006579021311510-242ac113-0001-012
296,4001154496834114026-242ac113-0001-012
297,5482961163627074026-242ac113-0001-012
298,3079680877068947946-242ac113-0001-012
299,4007530557406637590-242ac113-0001-012
300,5628053951953834476-242ac114-0001-012
301,7905970330904826346-242ac113-0001-012
302,2544493997249064470-242ac113-0001-012
303,5618596230834754026-242ac113-0001-012
304,8663790502346157590-242ac113-0001-012
305,7337222442829934100-242ac117-0001-012
306,5219894416747074026-242ac113-0001-012
307,3811703489407554026-242ac113-0001-012
308,400222579786387946-242ac113-0001-012
309,5987768807317836267-242ac118-0001-012
310,5974583253424148971-242ac118-0001-012
311,8863463531937197590-242ac113-0001-012
312,7261022847391231510-242ac113-0001-012
313,9133457003270640106-242ac113-0001-012
314,6898281736677954026-242ac113-0001-012
315,6990108137466434026-242ac113-0001-012
316,7417543287059321322-242ac113-0001-012
317,6944839182166594026-242ac113-0001-012
318,7347702163032174100-242ac117-0001-012
319,3453343031820947946-242ac113-0001-012
320,8950288261687874026-242ac113-0001-012
321,8798738374786477590-242ac113-0001-012
322,6688128986884674026-242ac113-0001-012
323,338847497126547946-242ac113-0001-012
324,3564934177553837590-242ac113-0001-012
325,6705308856068674026-242ac113-0001-012
326,2138528607492379116-242ac114-0001-012
327,7899954009451074026-242ac113-0001-012
328,2856342577676947946-242ac113-0001-012
329,7364145012168191510-242ac113-0001-012
330,8476885139215871510-242ac113-0001-012
331,3631076673912237590-242ac113-0001-012
332,3127723281665561066-242ac113-0001-012
333,3238238631940526571-242ac117-0001-012
334,8685105153725951510-242ac113-0001-012
335,6018907315918868971-242ac118-0001-012
336,8664243439774274026-242ac113-0001-012
